metric,observed,ci_lo,ci_hi
bh_sharpe,0.6903652976144117,0.012055431847299654,1.3906256378033213
st_sharpe,0.9723852724093882,0.23878996217562184,1.6706036048198318
diff_st_minus_bh,0.28201997479497654,-0.2975475678504868,0.7777595219853596
p_value_diff_le_0,0.1888,,
